Date,HDFCBANK,ICICIBANK
2021-06-14,1404.7860107421875,619.0492553710938
2021-06-15,1415.041259765625,628.94189453125
2021-06-16,1409.67626953125,623.873779296875
2021-06-17,1392.10986328125,616.9537963867188
2021-06-18,1405.1185302734375,614.4196166992188
2021-06-21,1413.5693359375,615.2481079101562
2021-06-22,1408.916748046875,614.858154296875
2021-06-23,1410.53076171875,608.8641357421875
2021-06-24,1430.2337646484375,617.9771728515625
2021-06-25,1438.6370849609375,632.5481567382812
2021-06-28,1432.2276611328125,633.815185546875
2021-06-29,1432.4185791015625,623.873779296875
2021-06-30,1428.4608154296875,614.906982421875
2021-07-01,1417.82763671875,614.858154296875
2021-07-02,1411.772216796875,624.02001953125
2021-07-05,1426.1243896484375,631.42724609375
2021-07-06,1463.5546875,633.815185546875
2021-07-07,1468.13232421875,637.42138671875
2021-07-08,1449.9654541015625,625.628173828125
2021-07-09,1432.37060546875,622.3629760742188
2021-07-12,1418.066162109375,629.8678588867188
2021-07-13,1432.2275390625,648.0938720703125
2021-07-14,1429.65283203125,647.509033203125
2021-07-15,1450.203857421875,650.5304565429688
2021-07-16,1451.7772216796875,643.5617065429688
2021-07-19,1402.807861328125,639.2732543945312
2021-07-20,1376.2489013671875,625.628173828125
2021-07-22,1381.54150390625,639.322021484375
2021-07-23,1375.8675537109375,659.4971923828125
2021-07-26,1368.047607421875,659.5946655273438
2021-07-27,1373.0064697265625,660.2769775390625
2021-07-28,1351.5972900390625,667.6842651367188
2021-07-29,1352.503173828125,672.0341796875
2021-07-30,1360.322998046875,667.1466674804688
2021-08-02,1356.69921875,666.0714111328125
2021-08-03,1368.1905517578125,674.8690185546875
2021-08-04,1397.3720703125,698.5734252929688
2021-08-05,1416.0157470703125,686.6478881835938
2021-08-06,1423.4542236328125,681.9558715820312
2021-08-09,1434.1827392578125,687.0388793945312
2021-08-10,1437.7589111328125,685.1327514648438
2021-08-11,1425.6474609375,677.9480590820312
2021-08-12,1431.7984619140625,685.5726318359375
2021-08-13,1455.448974609375,688.9450073242188
2021-08-16,1459.644775390625,686.8433837890625
2021-08-17,1444.434326171875,685.426025390625
2021-08-18,1442.86083984375,672.816162109375
2021-08-20,1444.5296630859375,665.3871459960938
2021-08-23,1453.9229736328125,667.3421630859375
2021-08-24,1486.585205078125,678.827880859375
2021-08-25,1485.2025146484375,675.5043334960938
2021-08-26,1482.7230224609375,683.0800170898438
2021-08-27,1476.6673583984375,684.0086059570312
2021-08-30,1495.5494384765625,697.5958862304688
2021-08-31,1508.0899658203125,702.8743896484375
2021-09-01,1505.8963623046875,703.7053833007812
2021-09-02,1515.337646484375,708.8372192382812
2021-09-03,1502.988037109375,708.00634765625
2021-09-06,1493.1177978515625,704.92724609375
2021-09-07,1496.5030517578125,700.7728271484375
2021-09-08,1503.3216552734375,704.731689453125
2021-09-09,1495.88330078125,704.0474243164062
2021-09-13,1483.4384765625,691.4865112304688
2021-09-14,1476.7628173828125,691.535400390625
